entrez	symbol	length	CN10	CN11	CN12	CN13	CN14	CN1	CN15	CN16	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CP10	CP11	CP12	CP13	CP14	CP1	CP15	CP16	CP17	CP18	CP19	CP20	CP21	CP22	CP23	CP24	CP2	CP3	CP4	CP5	CP6	CP7	CP8	CP9
254173	TTLL10	3129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126792	B3GALT6	2792	1	37	476	173	0	1	1	1	4	0	5	18	10	0	0	0	167	121	1	1	0	0	0	102	2	97	12	0	3	21	42	7	1	0	97	0	0	0	5	49
6339	SCNN1D	3054	25	5	0	73	0	64	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126789	PUSL1	1343	110	0	155	0	91	0	1	0	0	0	0	12	0	1	19	0	0	83	2	242	0	1	126	23	3	0	0	1	161	0	54	162	0	0	147	379	0	31	0	144
80772	CPTP	2193	84	0	30	162	0	12	0	0	5	0	0	0	41	1	1	0	9	0	2	1	55	0	0	0	76	1	0	0	21	0	12	3	0	0	55	113	40	35	15	1
83756	TAS1R3	3415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148413	LOC148413	1748	102	0	152	0	0	5	0	1	15	0	49	0	0	0	1	0	646	151	0	19	116	0	3	0	118	0	277	0	9	0	0	362	0	0	699	197	0	66	22	32
643965	TMEM88B	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64856	VWA1	4659	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	32	0	0	0	0	0
219293	ATAD3C	3859	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0
83858	ATAD3B	2993	1	95	316	0	0	53	128	32	0	0	0	8	0	1	20	233	87	88	101	0	12	154	167	46	4	436	36	0	28	82	65	2	1	0	96	154	12	59	103	102
55210	ATAD3A	2807	176	27	147	58	0	13	170	326	1	65	2	45	2	4	45	322	0	160	117	0	222	2	58	50	101	0	149	2	68	107	89	102	1	47	204	34	248	86	168	6
142678	MIB2	3574	0	0	40	4	0	21	0	0	1	0	1	8	1	0	0	151	231	0	0	10	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	13	15
8510	MMP23B	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8511	MMP23A	1812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
163688	CALML6	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2563	GABRD	1925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5590	PRKCZ	3079	0	52	0	106	0	0	190	0	0	0	0	0	0	3	31	0	0	0	0	12	0	0	0	0	0	0	88	0	43	0	12	0	0	0	0	0	0	0	8	0
6497	SKI	5707	2	21	82	0	2	27	0	0	6	0	1	14	5	0	0	0	0	90	58	4	7	1	0	1	2	4	0	17	39	0	7	11	2	0	8	276	370	1	50	0
11079	RER1	3104	770	374	470	493	525	288	625	651	104	277	106	494	6	169	383	652	1359	1261	35	1121	1206	2631	489	435	657	75	1027	0	816	1074	645	1278	6	330	997	971	577	739	605	1151
9651	PLCH2	6844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8764	TNFRSF14	3501	0	0	0	0	82	0	0	0	18	0	13	86	125	0	0	0	478	0	65	164	137	378	124	59	17	448	0	0	25	0	0	0	1	0	280	0	0	50	18	170
100996583	LOC100996583	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127281	FAM213B	2981	60	142	234	0	98	0	0	0	2	0	1	7	0	7	9	0	54	127	28	56	296	353	86	92	1	0	90	0	69	10	9	0	0	61	5	82	0	102	144	37
140625	ACTRT2	1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63976	PRDM16	8723	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	47	18	0	1	172	52	203	0	0	0	3	0	0	13	0	0	424	1	0	7	81	1
100422968	MIR4251	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27237	ARHGEF16	2904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127262	TPRG1L	2427	119	0	373	0	118	70	90	0	96	1	1	208	1	5	112	0	192	91	5	213	81	0	1	30	81	788	89	0	0	96	91	112	0	226	315	0	0	26	112	143
7161	TP73	5522	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148870	CCDC27	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0
388588	SMIM1	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1677	DFFB	3559	0	0	170	0	0	17	0	47	0	0	20	0	0	0	25	0	0	78	34	0	2	0	30	0	0	0	12	1	10	0	5	0	0	0	262	8	0	19	0	0
100133612	LINC01134	1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728716	LINC01346	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284661	LINC01777	2074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55966	AJAP1	3317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616489	NA	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8514	KCNAB2	5758	7	0	3	2	0	0	0	0	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	11	0	0	1	0	11	0	0	0	0	26	0	0	0	1	0	0
388591	RNF207	3971	15	2	0	0	70	0	0	0	0	13	1	0	0	7	34	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	133	0	0	0
148645	LINC00337	1640	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
390992	HES3	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83715	ESPN	3531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80835	TAS1R1	2795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
3104	ZBTB48	2350	0	75	0	0	0	66	0	0	2	347	1	6	0	1	0	0	0	1	59	0	108	0	0	0	0	16	180	1	11	0	0	0	0	0	0	0	0	62	40	0
148479	PHF13	3670	33	12	16	1	0	4	52	0	0	0	13	1	0	10	1	0	0	93	45	137	1	0	0	0	19	0	8	0	58	0	49	8	0	0	43	0	164	63	0	213
90326	THAP3	2972	0	0	171	13	52	37	105	1	0	0	43	0	0	0	70	0	0	51	20	68	88	0	76	0	0	0	76	0	70	0	70	172	0	0	0	0	0	145	145	245
100505887	LINC01672	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23261	CAMTA1	9283	181	138	231	398	182	88	650	0	45	0	65	86	42	80	74	2	901	211	52	378	146	164	235	267	235	160	231	100	143	103	283	416	44	207	732	517	1	120	302	341
9341	VAMP3	2205	246	366	498	421	482	297	257	18	106	553	121	487	1	250	170	3	901	723	209	830	428	2155	194	422	497	90	111	937	716	1099	759	705	9	927	1851	551	253	216	141	1755
8863	PER3	6386	45	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	83	35	0	0	0	0	78	0	2	36	0	0	0	0	72	0	0	15	196	0	0	79	0
11315	PARK7	961	1069	976	2314	1306	2110	843	2826	3790	282	262	299	1835	137	602	696	8	3071	2007	134	2720	2297	2089	1999	1599	2815	2020	1992	3	1987	1781	2390	3184	3	1843	2509	3842	570	1732	1614	2836
102724539	LINC01714	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50651	SLC45A1	2527	30	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	54	0	33	0	0	0	23	0	0	0	0	30	0	0	0	0	0	0	0	0	1	0	0
102724552	LOC102724552	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100505975	ENO1-AS1	446	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
765	CA6	1463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724571	LINC01759	981	0	0	0	123	0	43	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	55	0	6	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0
9563	H6PD	9290	355	161	55	132	235	329	21	303	34	24	61	159	0	63	173	0	116	2	1	128	140	7	13	59	93	94	56	0	192	1	1	244	2	0	0	9	50	31	106	21
80176	SPSB1	3117	601	83	270	66	0	41	0	21	3	0	46	71	0	1	103	0	278	0	2	0	0	0	0	0	0	0	0	0	13	0	105	0	0	0	2	0	0	43	1	84
84275	SLC25A33	1461	0	1	0	3	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	3	0	0	11	0	0	27	0	0	26	0	0
199953	TMEM201	6542	0	0	5	48	0	28	0	0	0	0	0	1	0	4	29	17	0	62	1	0	56	0	0	3	0	4	12	0	62	1	19	2	0	0	174	0	120	67	162	75
5293	PIK3CD	5411	4	226	127	184	60	1	26	0	33	1	12	55	0	0	83	0	0	134	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64802	NMNAT1	4395	2	41	109	81	77	41	187	0	9	0	11	1	0	0	26	1	6	64	2	17	0	12	87	0	100	249	103	0	15	0	7	50	0	6	154	4	1	39	0	1
100847055	MIR5697	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116362	RBP7	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10277	UBE4B	5879	64	22	90	237	28	7	2	0	19	6	63	62	1	3	89	0	68	39	8	371	121	41	179	211	45	0	55	0	61	188	149	53	0	0	570	153	5	12	15	6
23095	KIF1B	16016	129	180	44	86	384	87	55	1	41	2	71	306	2	0	70	690	452	89	45	238	108	0	8	55	29	3	0	0	20	0	107	268	0	0	136	265	70	4	238	0
103625684	RNU6-2	1171	7	1	3	2	1	2	3	0	1	4	1	0	1	1	2	14	7	16	6	0	0	18	0	0	0	0	8	0	1	0	3	14	0	18	9	3	17	7	3	9
5226	PGD	2545	941	449	1307	1684	823	614	787	6	97	258	268	401	5	553	527	12	70	713	31	815	470	810	498	238	665	48	607	0	484	539	310	697	0	440	1057	383	128	638	599	843
100526739	CENPS-CORT	1299	0	0	1	0	3	0	61	0	0	0	8	33	0	0	1	0	5	43	0	25	0	0	6	32	3	38	15	0	41	72	70	119	0	13	194	0	0	13	94	0
378708	CENPS	776	0	38	1	0	15	0	31	0	0	0	11	0	0	0	1	0	23	86	2	7	0	0	35	76	0	128	22	0	37	97	82	158	0	78	170	0	0	67	124	0
1325	CORT	1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	11	84	17	0	0	0	0	0	0	45	0	0	0	4	27	0
5195	PEX14	1926	18	0	1	44	20	72	0	0	1	0	3	0	0	7	8	64	72	41	0	43	18	0	0	19	0	0	0	30	0	4	0	3	0	9	0	72	0	11	20	0
23435	TARDBP	4217	170	47	100	486	216	116	146	2	97	181	130	188	121	267	235	1393	516	470	207	459	649	2	265	217	314	10	218	0	345	0	509	581	0	409	596	1403	605	329	516	901
105376736	LOC105376736	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	12	24	0	0	0	0	0	0	0	2	0	0	14	0	1	0	60	0	24	0	46
100873935	MTOR-AS1	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10218	ANGPTL7	2290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29914	UBIAD1	8353	129	0	6	1	0	0	0	0	26	0	22	0	0	41	69	0	536	135	50	5	114	0	201	0	13	2	36	0	78	1	43	43	1	0	328	72	4	100	190	0
57540	DISP3	5214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929181	LINC01647	1284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93611	FBXO44	3527	0	1	0	8	0	1	0	0	0	0	1	0	3	17	0	0	0	0	34	0	0	0	0	0	0	4	5	0	10	0	0	0	0	0	0	0	0	0	48	0
26270	FBXO6	1549	59	0	256	144	198	0	106	0	0	0	16	0	0	0	0	0	0	0	0	0	0	171	241	0	47	0	0	0	2	0	1	0	0	0	1	0	0	39	2	0
374946	DRAXIN	1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57085	AGTRAP	1280	397	494	595	487	118	1	665	3	32	158	50	243	120	87	149	716	429	732	53	535	567	315	343	497	300	618	1	1	105	500	123	78	4	0	659	319	310	131	298	833
284498	C1orf167	4672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1185	CLCN6	5708	66	0	35	3	12	59	0	0	1	0	0	20	34	0	0	1	294	70	0	210	79	0	0	55	26	0	5	0	33	0	37	0	0	0	0	1	0	16	0	21
100379251	NPPA-AS1	1662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	18	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5351	PLOD1	3172	2611	2713	3020	5389	3586	2175	4154	1804	743	1773	623	1812	447	1250	1519	5808	2085	994	223	1871	1238	2587	773	925	857	117	810	1	623	1503	928	424	2	4	895	2371	115	1068	501	1477
9927	MFN2	4677	228	46	65	218	195	75	0	9	11	39	85	558	0	15	128	0	227	138	9	212	567	0	295	165	80	35	222	1	148	0	338	172	0	150	179	543	0	99	187	605
60672	MIIP	1801	200	0	0	181	86	49	235	1	5	0	18	348	75	138	138	1	251	79	2	1	0	0	261	110	3	12	94	0	104	0	1	100	0	0	252	302	0	121	78	102
102466982	MIR6729	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
943	TNFRSF8	3686	0	0	0	286	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102465836	MIR7846	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7133	TNFRSF1B	3675	0	1	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	71	3	0
100616438	MIR4632	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55187	VPS13D	16345	31	1	541	47	105	0	162	0	29	221	0	120	1	36	115	0	14	0	0	286	104	0	0	0	5	1	3	0	3	257	71	8	0	0	77	521	427	74	62	71
677885	SNORA59A	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	6	0	0	0	0	0	0	0	0
343066	AADACL4	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126767	AADACL3	4049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93190	C1orf158	1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390999	PRAMEF12	1778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65121	PRAMEF1	2436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65122	PRAMEF2	1642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
441871	PRAMEF7	4674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391003	PRAMEF18	2752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653606	PRAMEF22	2892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649324	PRAMEF34P	4429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343068	PRAMEF5	2819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440561	PRAMEF6	2276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929983	PRAMEF27	5746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343071	PRAMEF10	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645382	PRAMEF33	3036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653619	PRAMEF15	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391004	PRAMEF17	3158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645425	PRAMEF20	3194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10630	PDPN	2980	89	4	328	641	81	34	1	55	33	0	38	170	0	60	148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7799	PRDM2	9583	149	52	185	7	203	57	2	0	5	7	0	79	0	2	33	0	0	72	2	161	45	0	0	0	0	17	12	0	28	0	93	1	1	0	5	5	0	119	162	9
23254	KAZN	9368	0	0	0	86	55	1	167	0	0	0	30	1	0	0	0	633	0	46	0	17	0	1	163	0	54	0	0	0	57	0	0	93	0	1	1	0	0	0	16	0
55092	TMEM51	2262	1	0	120	14	1	0	392	0	3	0	33	0	0	35	0	0	0	34	1	0	0	0	0	0	0	0	0	0	6	0	42	55	0	30	0	0	367	0	0	0
114827	FHAD1	5090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79180	EFHD2	2419	100	93	21	6	58	1	16	0	13	78	3	104	25	26	58	0	16	119	14	86	74	0	33	48	36	6	2	0	56	0	47	50	2	39	101	144	239	40	37	114
11330	CTRC	899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63036	CELA2A	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51032	CELA2B	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23341	DNAJC16	6299	229	1	287	122	67	53	453	0	0	463	18	78	30	37	24	0	249	15	0	0	182	0	183	167	160	6	129	0	51	0	4	88	0	0	535	221	57	50	173	138
84301	DDI2	2680	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
6248	RSC1A1	2318	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	28	0	0	0	45	1	0	31	0	0	0	12	0	0	0	3	0	0	25	75	0
23207	PLEKHM2	4122	184	124	154	125	331	27	141	0	42	0	51	1	12	180	31	252	231	29	2	461	52	0	330	114	124	13	173	0	103	106	337	60	0	1	316	0	277	107	125	13
284723	SLC25A34	3073	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
